username,key,value
postnl,0,🤩 Try the following prompts ⬇️
postnl,1,(copy and paste in the chat box)
postnl,2,Wat is PostNL?
postnl,3,Wat nou als ik veel pakketten moet versturen?
postnl,4,Vertel me meer over de haalservice
postnl,5,Schrijf een mail voor een prospect over de haalservice
postnl,6,Wat zijn de duurzaamheidsvoordelen van de haalservice?
datastax,0,🤩 Try the following prompts ⬇️
datastax,1,(copy and paste in the chat box)
datastax,2,What is DataStax?
datastax,3,What is Vector Search?
datastax,4,Tell me more about why Astra DB is the best!
datastax,5,Write an email for a prospect about Astra DB
datastax,6,What advantages does Astra DB offer for Generative AI?
datastax,7,What strategies exits for meaningful agent interaction
datastax,8,How can I user Astra DB in a RAG application?
michel,0,🤩 Try the following prompts ⬇️
michel,1,(copy and paste in the chat box)
michel,2,"Hallo, ik ben Michel"
michel,3,Wie ben ik?
nn,0,🤩 Try the following prompts ⬇️
nn,1,(copy and paste in the chat box)
nn,2,"Ce este NN România?"
nn,3,"Câți clienți susține NN România?"
nn,4,"Ce este Fondul de Pensii Facultative NN ACTIVE?"
backup,5, Ce este DataStax?
backup,6, Ce este căutarea vectorială (Vector Search)?
backup,7, Spune-mi mai multe despre de ce Astra DB este cel mai bun!
backup,8, Scrie un e-mail pentru un potențial client despre Astra DB
backup,9, Ce avantaje oferă Astra DB pentru Inteligența Artificială Generativă?
backup,10, Ce strategii există pentru interacțiuni semnificative cu agenți
backup,11, Cum pot folosi Astra DB într-o aplicație RAG?





